date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:00	773/773	---MCZ	200	added ('OK')	text/plain	date:Tue,%2003%20Feb%202026%2014:47:58%20GMT	https://tsg.xyz/robots.txt		(from )
15:48:02	57319/57319	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Feb%202026%2014:47:58%20GMT	https://tsg.xyz/	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/index.html	(from )
15:48:03	22221/22221	---MCZ	200	added ('OK')	text/css	etag:W/%22865ea79adb083fdcd57d2edc33a6e624-ssl-df%22	https://tsg.xyz/_nuxt/entry.PUmZFD-c.css	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/entry.PUmZFD-c.css	(from https://tsg.xyz/)
15:48:03	368/368	---MCZ	200	added ('OK')	text/css	etag:W/%22225f3295410351822fa189007b379edf-ssl%22	https://tsg.xyz/_nuxt/index.CcfutiKt.css	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/index.CcfutiKt.css	(from https://tsg.xyz/)
15:48:04	272962/272962	---MCZ	200	added ('OK')	application/javascript	etag:W/%2238401ebc8cefcd1f927ce400d23c9507-ssl-df%22	https://tsg.xyz/_nuxt/CvpO30Rr.js	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/CvpO30Rr.js	(from https://tsg.xyz/)
15:48:05	226/226	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f4757fff9ba58b21c9966b4af0cb259-ssl%22	https://tsg.xyz/_nuxt/DTnUARUj.js	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/DTnUARUj.js	(from https://tsg.xyz/)
15:48:06	91/91	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e66d6c81bf6110b87171442f73306683-ssl%22	https://tsg.xyz/_nuxt/DlAUqK2U.js	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/DlAUqK2U.js	(from https://tsg.xyz/)
15:48:06	13245/13245	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e5debad6d942f0e7812732be3b068a5a-ssl-df%22	https://tsg.xyz/_nuxt/DUB7PfjP.js	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/DUB7PfjP.js	(from https://tsg.xyz/)
15:48:06	7697/7697	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f2cf2db61baa917a509d66ddc5e01bd0-ssl-df%22	https://tsg.xyz/_nuxt/Nsngrmxn.js	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/Nsngrmxn.js	(from https://tsg.xyz/)
15:48:07	139/139	---MCZ	200	added ('OK')	application/json	etag:W/%22cb78e5b23780ab2a041cb47b54ebc41f-ssl%22	https://tsg.xyz/_nuxt/builds/meta/bdb9e278-91ca-4feb-9b4d-54d9f2a52158.json	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/builds/meta/bdb9e278-91ca-4feb-9b4d-54d9f2a52158.json	(from https://tsg.xyz/)
15:48:08	320426/320426	---M--	200	added ('OK')	image/jpeg	etag:%225d9afb4ffe9824ba93cf81063d80ecd4-ssl%22	https://tsg.xyz/images/announcement.jpg	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/images/announcement.jpg	(from https://tsg.xyz/)
15:48:09	4712/4712	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Feb%202026%2014:48:06%20GMT	https://tsg.xyz/cdn-cgi/l/email-protection	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/cdn-cgi/l/email-protection	(from https://tsg.xyz/)
15:48:10	1239/1239	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2003%20Feb%202026%2014:48:07%20GMT	https://tsg.xyz/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://tsg.xyz/)
15:48:11	4496694/4496694	---M--	200	added ('OK')	video/mp4	etag:%22a81e04ae8ef29cfdd046d8575d084896-ssl%22	https://tsg.xyz/videos/announcement.mp4	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/videos/announcement.mp4	(from https://tsg.xyz/)
15:48:12	62408/62408	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22813798f1ef9826d7a5ede29c2c23cb9d-ssl-df%22	https://tsg.xyz/_nuxt/PPMori-Extralight.BhkGJ8B3.woff	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/PPMori-Extralight.BhkGJ8B3.woff	(from https://tsg.xyz/_nuxt/entry.PUmZFD-c.css)
15:48:12	63544/63544	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226c8942895e26eb45128f8d853bf8b660-ssl-df%22	https://tsg.xyz/_nuxt/PPMori-ExtralightItalic.BnPtREdA.woff	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/PPMori-ExtralightItalic.BnPtREdA.woff	(from https://tsg.xyz/_nuxt/entry.PUmZFD-c.css)
15:48:12	61080/61080	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22de2ca0a4e91f29981b19fbf3439404dc-ssl-df%22	https://tsg.xyz/_nuxt/PPMori-Regular.C1Cp0C7Z.woff	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/PPMori-Regular.C1Cp0C7Z.woff	(from https://tsg.xyz/_nuxt/entry.PUmZFD-c.css)
15:48:27	64064/64064	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22f332e02fde0dd4f46d92339a7912f5fb-ssl-df%22	https://tsg.xyz/_nuxt/PPMori-Semibold.BkyimhZk.woff	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/PPMori-Semibold.BkyimhZk.woff	(from https://tsg.xyz/_nuxt/entry.PUmZFD-c.css)
15:48:28	64384/64384	---MCZ	200	added ('OK')	application/font-woff	etag:W/%224c7c844e60e31f4d7a749fce06b91805-ssl-df%22	https://tsg.xyz/_nuxt/PPMori-SemiboldItalic.GFchRhFE.woff	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/PPMori-SemiboldItalic.GFchRhFE.woff	(from https://tsg.xyz/_nuxt/entry.PUmZFD-c.css)
15:48:30	63716/63716	---MCZ	200	added ('OK')	application/font-woff	etag:W/%228dd69664b135cf1fac4f80de1067907a-ssl-df%22	https://tsg.xyz/_nuxt/PPMori-Black.BCqa4nAv.woff	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/PPMori-Black.BCqa4nAv.woff	(from https://tsg.xyz/_nuxt/entry.PUmZFD-c.css)
15:48:30	63828/63828	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226a921791dfb3edca0296c42c00e60bf6-ssl-df%22	https://tsg.xyz/_nuxt/PPMori-BlackItalic.D5-ve5NR.woff	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/PPMori-BlackItalic.D5-ve5NR.woff	(from https://tsg.xyz/_nuxt/entry.PUmZFD-c.css)
15:49:05	61908/61908	---MCZ	200	added ('OK')	application/font-woff	etag:W/%228265c1f6fefb8105b8eeeee41396c2fb-ssl-df%22	https://tsg.xyz/_nuxt/PPMori-RegularItalic.DZATIXKT.woff	E:/my_websites/Zuriwave/Zuriwave/tsg.xyz/_nuxt/PPMori-RegularItalic.DZATIXKT.woff	(from https://tsg.xyz/_nuxt/entry.PUmZFD-c.css)
